Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Simone Bastoni;Spezia Calcio;24;Defender;Italy;2700000;Serie A;22;1522;1;7;7;0;21;4;8;1272;14;29
Tolgay Arslan;Udinese Calcio;31;midfield;Germany;2700000;Serie A;30;1818;3;0;9;0;22;6;1;1103;35;39
Jesus Navas;Sevilla FC;35;Defender;Spain;2700000;La Liga;34;2827;0;6;4;0;15;2;9;2351;19;18
Jonathan Gradit;RC Lens;28;Defender;France;2700000;Ligue 1;33;2823;0;1;9;1;2;0;2;2028;31;31
Dara O'Shea;West Bromwich Albion;22;Defender;Ireland;2700000;Premier League;28;2102;0;0;3;0;4;0;2;1169;5;30
Alberto Soro;Granada CF;22;attack;Spain;2700000;La Liga;15;393;1;2;1;0;2;1;2;169;2;5
Yan Valery;Southampton FC;22;Defender;France;2700000;Premier League;3;103;0;0;0;0;2;0;0;94;1;2
Ansgar Knauff;Borussia Dortmund;19;attack;Germany;2700000;Bundesliga;4;71;1;1;0;0;2;1;2;41;7;0
Albin Ekdal;UC Sampdoria;32;midfield;Sweden;2700000;Serie A;32;2299;2;1;9;0;13;3;1;1325;22;49
Fali;Cádiz CF;28;Defender;Spain;2700000;La Liga;34;2637;0;0;11;0;11;2;3;996;8;21
Moreto Cassama;Stade Reims;23;midfield;Guinea-Bissau;2700000;Ligue 1;29;2031;1;1;8;3;11;2;1;1590;22;37
Kike Barja;CA Osasuna;24;attack;Spain;2700000;La Liga;33;1433;2;3;2;0;22;12;4;731;45;8
Adrien Silva;UC Sampdoria;32;midfield;Portugal;2700000;Serie A;24;1599;1;1;8;1;6;1;3;1136;10;26
Simone Zaza;Torino FC;30;attack;Italy;2700000;Serie A;29;1491;6;0;4;0;58;17;2;560;9;8
Andrea Consigli;US Sassuolo;34;Goalkeeper;Italy;2700000;Serie A;37;3330;0;0;1;0;0;0;0;1462;0;0
Aridane Hernandez;CA Osasuna;32;Defender;Spain;2700000;La Liga;24;2026;0;0;3;1;2;0;0;962;5;21
Nicolas de Preville;FC Metz;30;attack;France;2700000;Ligue 1;33;1611;1;2;3;0;39;11;7;929;31;20
Papa Ndiaga Yade;FC Metz;21;attack;Senegal;2700000;Ligue 1;28;1001;3;4;4;0;28;7;5;445;27;12
Brendan Chardonnet;Stade Brestois 29;26;Defender;France;2700000;Ligue 1;33;2716;3;1;3;1;20;9;2;2046;4;33
Anthony Knockaert;Fulham FC;29;attack;France;2700000;Premier League;;;;;;;;;;;;
Javier Manquillo;Newcastle;27;Defender;Spain;2700000;Premier League;13;825;0;0;1;0;1;0;0;500;4;14
Lucas Da Cunha;OGC Nice;20;attack;France;2700000;Ligue 1;;;;;;;;;;;;
Julian Chabot;UC Sampdoria;23;Defender;Germany;2700000;Serie A;25;1655;1;1;11;1;9;2;2;1266;13;36
Robin Olsen;Sheffield United;31;Goalkeeper;Sweden;2700000;Premier League;7;630;0;0;1;0;0;0;0;215;0;0
Lamine Gueye;FC Metz;23;attack;Senegal;2700000;Ligue 1;26;1454;3;2;1;0;43;15;3;723;17;13
Matej Vydra;Burnley FC;29;attack;Czech Republic;2700000;Premier League;28;1371;3;2;0;0;35;9;6;436;23;6
Faouzi Ghoulam;SSC Napoli;30;Defender;Algeria;2700000;Serie A;11;289;0;0;1;0;3;0;1;287;3;1
Nathaniel Clyne;Crystal Palace;30;Defender;England;2700000;Premier League;13;1145;0;1;2;0;4;1;1;670;3;9
Johann Berg Gudmundsson;Burnley FC;30;attack;Iceland;2700000;Premier League;22;1363;2;0;2;0;19;8;0;601;6;14
Fede San Emeterio;Real Valladolid CF;24;midfield;Spain;2700000;La Liga;24;1460;0;0;7;0;3;0;0;697;3;18
Fraser Forster;Southampton FC;33;Goalkeeper;England;2700000;Premier League;8;720;0;0;0;0;0;0;0;305;0;0
Niclas Eliasson;Nîmes Olympique;25;midfield;Sweden;2700000;Ligue 1;30;1799;4;3;1;0;25;10;4;762;12;24
Filippo Romagna;US Sassuolo;24;Defender;Italy;2700000;Serie A;;;;;;;;;;;;
Federico Fernandez;Newcastle;32;Defender;Argentina;2700000;Premier League;24;2079;0;0;4;0;5;3;0;1114;0;17
Timo Baumgartl;1.FC Union Berlin;25;Defender;Germany;2700000;Bundesliga;;;;;;;;;;;;
Ciaran Clark;Newcastle;31;Defender;Ireland;2700000;Premier League;22;1891;1;0;3;0;8;2;0;992;6;14
Reece Oxford;FC Augsburg;22;Defender;England;2700000;Bundesliga;24;1358;0;0;2;0;7;2;0;885;4;15
Michael Gregoritsch;FC Augsburg;27;attack;Austria;2700000;Bundesliga;24;835;1;2;1;0;13;3;4;378;11;10
