Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Cristiano Piccini;Valencia CF;28;Defender;Italy;1980000;La Liga;;;;;;;;;;;;
Etrit Berisha;Torino FC;32;Goalkeeper;Albania;1980000;Serie A;;;;;;;;;;;;
Ambroise Oyongo;Montpellier HSC;30;Defender;Cameroon;1980000;Ligue 1;13;558;1;1;1;0;1;1;2;377;2;7
Juan Cruz Armada;CA Osasuna;29;Defender;Spain;1980000;La Liga;26;1962;0;0;4;0;1;0;1;1050;9;17
Lucas Torro;CA Osasuna;27;midfield;Spain;1980000;La Liga;25;1548;0;1;4;0;17;7;4;864;11;21
Fidel;Elche CF;31;attack;Spain;1800000;La Liga;30;2396;6;3;8;0;16;7;6;1529;48;30
Marvin Ducksch;SV Werder Bremen;27;attack;Germany;1800000;Bundesliga;;;;;;;;;;;;
Louis Schaub;1. FC Köln;26;midfield;Austria;1800000;Bundesliga;;;;;;;;;;;;
Renaud Emond;FC Nantes;29;attack;Belgium;1800000;Ligue 1;22;354;2;0;1;0;7;5;1;128;0;2
Charles Traore;FC Nantes;29;Defender;Mali;1800000;Ligue 1;22;1700;1;0;6;0;2;1;1;1197;7;37
Loris Karius;Liverpool FC;28;Goalkeeper;Germany;1800000;Premier League;4;292;0;0;0;0;0;0;0;100;0;0
Kalifa Coulibaly;FC Nantes;30;attack;Mali;1800000;Ligue 1;17;981;3;1;2;0;18;4;3;378;3;6
Thomas Ouwejan;FC Schalke 04;24;midfield;Netherlands;1800000;Bundesliga;15;413;0;2;0;0;6;2;3;292;3;3
Bryan Soumare;Dijon FCO;22;midfield;France;1800000;Ligue 1;;;;;;;;;;;;
Godfred Donsah;FC Crotone;25;midfield;Ghana;1800000;Serie A;;;;;;;;;;;;
Sebastian Vasiliadis;Arminia Bielefeld;23;midfield;Greece;1800000;Bundesliga;;;;;;;;;;;;
Nahuel Estevez;FC Crotone;25;midfield;Argentina;1800000;Serie A;27;1768;0;3;7;0;24;8;9;1085;10;13
Stefano Okaka;Udinese Calcio;32;attack;Italy;1800000;Serie A;22;1489;4;1;2;0;22;9;2;505;16;8
Milan Badelj;Genoa CFC;32;midfield;Croatia;1800000;Serie A;30;2408;1;4;7;0;17;4;6;1908;29;46
Ruben Yanez;Getafe CF;27;Goalkeeper;Spain;1800000;La Liga;10;900;0;0;2;0;0;0;0;286;0;0
Fernandinho;Manchester City;36;midfield;Brazil;1800000;Premier League;21;1188;0;2;6;0;15;3;3;1127;10;22
Anthony Limbombe;FC Nantes;27;attack;Belgium;1800000;Ligue 1;;;;;;;;;;;;
Sebastien Corchia;FC Nantes;30;Defender;France;1800000;Ligue 1;25;2066;0;1;3;0;21;7;1;1252;15;25
Omar Marmoush;VfB Stuttgart;22;attack;Egypt;1800000;Bundesliga;1;1;0;0;0;0;0;0;0;1;0;0
Paul Jaeckel;1.FC Union Berlin;23;Defender;Germany;1800000;Bundesliga;;;;;;;;;;;;
Stefan Bell;1.FSV Mainz 05;30;Defender;Germany;1800000;Bundesliga;16;1266;1;1;6;0;7;2;2;739;0;17
Daniel Ginczek;VfL Wolfsburg;30;attack;Germany;1800000;Bundesliga;11;215;0;0;0;0;4;0;0;107;3;2
Oscar de Marcos;Athletic Bilbao;32;Defender;Spain;1800000;La Liga;25;1520;1;2;2;0;6;5;4;904;7;17
Finn Dahmen;1.FSV Mainz 05;23;Goalkeeper;Germany;1800000;Bundesliga;3;270;0;0;0;0;0;0;0;96;0;0
Johan Mojica;Elche CF;29;Defender;Colombia;1800000;La Liga;28;1503;0;0;4;0;11;2;0;1107;16;20
Diego Falcinelli;Bologna FC 1909;30;attack;Italy;1800000;Serie A;;;;;;;;;;;;
Allan Nyom;Getafe CF;33;Defender;Cameroon;1800000;La Liga;31;2323;0;2;10;1;10;2;4;1138;13;24
Alexander Hack;1.FSV Mainz 05;27;Defender;Germany;1800000;Bundesliga;21;1370;1;0;2;0;8;2;1;901;7;25
Florin Andone;Cádiz CF;28;attack;Romania;1800000;La Liga;;;;;;;;;;;;
Mark Noble;West Ham United;34;midfield;England;1800000;Premier League;21;712;0;0;1;0;1;0;0;475;3;5
Daniel Caligiuri;FC Augsburg;33;attack;Italy;1800000;Bundesliga;33;2665;6;4;5;0;38;13;9;1641;63;47
Fredrik Jensen;FC Augsburg;23;midfield;Finland;1800000;Bundesliga;13;377;0;1;0;0;5;0;3;156;7;2
Paolo Farago;Cagliari;28;Defender;Italy;1800000;Serie A;8;369;0;0;2;0;3;0;0;281;2;3
Mikel Vesga;Athletic Bilbao;28;midfield;Spain;1800000;La Liga;30;1722;0;1;7;0;23;5;3;1098;8;26
Raphael Framberger;FC Augsburg;25;Defender;Germany;1800000;Bundesliga;21;1540;0;1;6;1;1;1;1;988;13;16
Sofiane Alakouch;FC Metz;23;Defender;Morocco;1800000;Ligue 1;22;1505;0;2;4;0;5;0;3;1142;22;32
Gaetano Letizia;Benevento Calcio;31;Defender;Italy;1800000;Serie A;24;1570;3;1;2;0;13;7;2;1049;10;27
Etienne Capoue;Villarreal CF;33;midfield;France;1800000;La Liga;16;1185;1;0;5;1;8;3;0;879;11;14
Roberto Insigne;Benevento Calcio;27;attack;Italy;1800000;Serie A;30;1599;2;4;2;0;38;12;7;795;15;7
Thomas Monconduit;FC Lorient;30;midfield;France;1800000;Ligue 1;27;1153;2;0;4;0;22;4;1;841;8;25
Tobias Strobl;FC Augsburg;31;midfield;Germany;1800000;Bundesliga;29;1846;0;0;4;0;6;1;1;1022;8;14
Lars Lukas Mai;SV Werder Bremen;21;Defender;Germany;1800000;Bundesliga;;;;;;;;;;;;
Jimmy Cabot;SCO Angers;27;attack;France;1800000;Ligue 1;22;942;1;1;1;0;10;4;1;583;38;16
Atakan Karazor;VfB Stuttgart;24;midfield;Germany;1800000;Bundesliga;19;1037;0;0;3;0;3;1;1;848;7;14
Aimen Moueffek;AS Saint-Étienne;20;midfield;France;1800000;Ligue 1;19;743;0;0;3;0;1;0;0;499;19;19
Martin Montoya;Real Betis Balompié;30;Defender;Spain;1800000;La Liga;5;239;0;0;0;1;2;0;0;192;2;2
Kamil Glik;Benevento Calcio;33;Defender;Poland;1800000;Serie A;36;3206;2;1;10;1;29;11;1;1674;4;34
Aitor Ruibal;Real Betis Balompié;25;attack;Spain;1800000;La Liga;28;1593;2;2;2;0;34;13;3;798;37;24
Jeroen Zoet;Spezia Calcio;30;Goalkeeper;Netherlands;1800000;Serie A;7;603;0;0;1;0;0;0;0;327;0;0
Yannik Keitel;SC Freiburg;21;midfield;Germany;1800000;Bundesliga;12;498;0;0;1;0;9;2;0;267;4;8
Ebrima Darboe;AS Roma;20;midfield;The Gambia;1800000;Serie A;5;323;0;0;2;0;3;0;0;285;3;4
Vicente Guaita;Crystal Palace;34;Goalkeeper;Spain;1800000;Premier League;37;3330;0;0;2;0;0;0;0;1168;0;0
Patrick Burner;Nîmes Olympique;25;Defender;Martinique;1800000;Ligue 1;22;1317;0;0;0;0;6;1;0;822;11;13
Steve Mandanda;Olympique Marseille;36;Goalkeeper;France;1800000;Ligue 1;37;3330;0;0;1;0;0;0;0;1401;3;0
Jack Butland;Crystal Palace;28;Goalkeeper;England;1800000;Premier League;1;90;0;0;0;0;0;0;0;23;0;0
Chris Basham;Sheffield United;33;Defender;England;1800000;Premier League;31;2576;0;1;5;0;10;1;1;1454;19;46
Kevin-Prince Boateng;Hertha BSC;34;midfield;Ghana;1800000;Bundesliga;;;;;;;;;;;;
Damien Da Silva;Olympique Lyon;33;Defender;France;1800000;Ligue 1;30;2661;4;0;7;1;23;11;1;2268;11;18
Juan Jesus;SSC Napoli;30;Defender;Brazil;1800000;Serie A;;;;;;;;;;;;
Ricardo Rodriguez;Torino FC;29;Defender;Switzerland;1800000;Serie A;16;1238;0;0;1;0;13;2;3;866;8;15
Jack Robinson;Sheffield United;28;Defender;England;1800000;Premier League;11;877;0;1;3;0;5;0;4;553;3;10
Stefan Radu;SS Lazio;34;Defender;Romania;1800000;Serie A;31;2458;0;3;2;0;6;0;6;1862;14;23
Kenneth Zohore;West Bromwich Albion;27;attack;Denmark;1800000;Premier League;;;;;;;;;;;;
Pele;AS Monaco;29;midfield;Guinea-Bissau;1800000;Ligue 1;;;;;;;;;;;;
Cristian Ansaldi;Torino FC;34;Defender;Argentina;1800000;Serie A;31;1947;1;6;1;0;16;6;8;1213;34;26
Lukas Klunter;Hertha BSC;25;Defender;Germany;1800000;Bundesliga;11;990;0;0;0;0;0;0;3;624;6;7
Ben Osborn;Sheffield United;27;midfield;England;1800000;Premier League;24;1604;1;0;1;0;9;4;0;1023;18;16
Luke Freeman;Sheffield United;29;midfield;England;1800000;Premier League;;;;;;;;;;;;
Tomas Rincon;Torino FC;33;midfield;Venezuela;1800000;Serie A;36;2846;1;1;10;1;23;4;2;1690;30;47
Jorge Pulido;SD Huesca;30;Defender;Spain;1800000;La Liga;33;2885;1;0;6;1;17;2;2;1910;8;27
Baptiste Reynet;Dijon FCO;30;Goalkeeper;France;1800000;Ligue 1;38;3420;0;0;3;0;2;0;1;1706;1;0
Guido Carrillo;Elche CF;30;attack;Argentina;1800000;La Liga;21;1002;3;2;3;0;26;7;3;433;5;9
Conor Townsend;West Bromwich Albion;28;Defender;England;1800000;Premier League;25;2234;0;2;0;0;11;4;4;1450;12;32
Nathan Tella;Southampton FC;22;attack;England;1800000;Premier League;18;745;1;1;2;0;15;7;2;291;16;8
Nacho Vidal;CA Osasuna;26;Defender;Spain;1800000;La Liga;34;2348;0;0;10;0;9;2;2;1342;13;30
Edoardo Goldaniga;US Sassuolo;27;Defender;Italy;1800000;Serie A;25;1857;0;1;8;0;7;0;2;1077;5;21
Moussa Doumbia;Stade Reims;27;attack;Mali;1800000;Ligue 1;23;899;0;1;1;0;17;3;3;558;24;3
Jordi Masip;Real Valladolid CF;32;Goalkeeper;Spain;1800000;La Liga;25;2250;0;0;3;0;0;0;0;852;0;0
Jorge Miramon;Levante UD;32;Defender;Spain;1800000;La Liga;26;1732;0;3;1;0;10;0;6;1253;14;24
Luca Ceppitelli;Cagliari;32;Defender;Italy;1800000;Serie A;19;1465;0;0;3;0;7;1;1;976;2;17
Leo Sena;Spezia Calcio;25;midfield;Brazil;1800000;Serie A;16;885;0;0;0;0;2;0;1;721;22;15
Sanjin Prcic;RC Strasbourg Alsace;27;midfield;Bosnia-Herzegovina;1800000;Ligue 1;14;353;0;1;1;0;7;1;1;273;1;3
Edgar Badia;Elche CF;29;Goalkeeper;Spain;1800000;La Liga;30;2700;0;0;0;0;0;0;0;1228;0;0
Diego Godin;Cagliari;35;Defender;Uruguay;1800000;Serie A;28;2508;1;0;3;0;11;4;2;1844;14;33
James McArthur;Crystal Palace;33;midfield;Scotland;1800000;Premier League;18;1466;0;2;3;0;6;0;2;953;17;26
Lebo Mothiba;RC Strasbourg Alsace;25;attack;South Africa;1800000;Ligue 1;;;;;;;;;;;;
Davide Santon;AS Roma;30;Defender;Italy;1800000;Serie A;10;586;0;1;3;0;5;0;1;357;6;4
Marco Sportiello;Atalanta BC;29;Goalkeeper;Italy;1800000;Serie A;15;1261;0;0;0;0;0;0;0;408;0;1
Stefano Sabelli;Genoa CFC;28;Defender;Italy;1710000;Serie A;;;;;;;;;;;;
Carlos Bacca;Granada CF;34;attack;Colombia;1620000;La Liga;23;786;5;0;1;0;20;12;2;251;8;7
Darko Brasanac;CA Osasuna;29;midfield;Serbia;1620000;La Liga;16;909;2;0;4;0;8;4;1;399;5;12
Florian Miguel;SD Huesca;25;Defender;France;1620000;La Liga;21;1538;0;0;4;2;10;4;0;1121;2;14
Alex Ferrari;UC Sampdoria;27;Defender;Italy;1620000;Serie A;12;880;0;1;3;0;0;0;2;592;1;23
Miguel Trauco;AS Saint-Étienne;29;Defender;Peru;1620000;Ligue 1;26;2035;0;2;1;0;6;1;3;1627;11;28
Timo Hubers;1. FC Köln;25;Defender;Germany;1620000;Bundesliga;;;;;;;;;;;;
Pere Milla;Elche CF;28;attack;Spain;1620000;La Liga;32;1981;4;3;6;0;30;11;8;843;17;21
Manuel Prietl;Arminia Bielefeld;30;midfield;Austria;1620000;Bundesliga;28;2517;1;1;3;0;18;5;5;1253;20;48
Paul Nardi;FC Lorient;27;Goalkeeper;France;1620000;Ligue 1;23;2070;0;0;1;0;0;0;1;692;0;0
Ragnar Ache;Eintracht Frankfurt;23;attack;Germany;1620000;Bundesliga;7;100;1;0;1;0;2;1;0;54;0;0
Niccolo Zanellato;FC Crotone;23;midfield;Italy;1620000;Serie A;27;1637;1;1;3;0;5;1;3;883;14;21
Nikola Vukcevic;Levante UD;29;midfield;Montenegro;1620000;La Liga;13;810;0;0;4;0;2;0;0;385;1;7
Thomas Delaine;FC Metz;29;Defender;France;1620000;Ligue 1;24;1779;3;2;4;0;17;10;2;1038;25;18
Romain Thomas;SCO Angers;33;Defender;France;1620000;Ligue 1;34;3024;4;0;5;1;15;8;0;2008;4;38
Isaac Success;Udinese Calcio;25;attack;Nigeria;1620000;Serie A;;;;;;;;;;;;
Dennis Appiah;FC Nantes;29;Defender;France;1620000;Ligue 1;22;1556;0;2;3;0;7;0;5;1069;14;30
Lucas Perrin;RC Strasbourg Alsace;22;Defender;France;1620000;Ligue 1;7;308;1;0;1;0;3;1;0;209;1;6
Koffi Djidji;Torino FC;28;Defender;Cote d'Ivoire;1620000;Serie A;20;1524;1;0;4;0;4;2;1;961;8;22
Ajdin Hrustic;Eintracht Frankfurt;25;midfield;Australia;1620000;Bundesliga;11;272;1;0;2;0;7;4;3;288;7;5
Artur Ionita;Benevento Calcio;31;midfield;Moldova;1620000;Serie A;36;2835;2;0;6;0;24;8;4;1033;20;35
Daniel Didavi;VfB Stuttgart;31;midfield;Germany;1620000;Bundesliga;23;970;4;3;2;0;24;7;5;537;10;7
Fabio;FC Nantes;31;Defender;Brazil;1620000;Ligue 1;22;1507;0;1;5;1;7;1;3;1102;7;39
Ximo Navarro;Deportivo Alavés;31;Defender;Spain;1620000;La Liga;31;2375;1;1;6;0;13;3;4;1347;16;35
Naouirou Ahamada;VfB Stuttgart;19;midfield;France;1620000;Bundesliga;6;252;0;0;2;1;5;1;0;160;9;1
Jon Guridi;Real Sociedad;26;midfield;Spain;1620000;La Liga;17;831;0;1;2;0;8;2;1;453;16;12
Riccardo Saponara;ACF Fiorentina;29;midfield;Italy;1530000;Serie A;9;389;2;0;2;1;10;4;2;181;8;2
Kingsley Ehizibue;1. FC Köln;26;Defender;Nigeria;1530000;Bundesliga;21;1133;0;1;5;0;9;1;3;751;19;21
Stefan Ilsanker;Eintracht Frankfurt;32;midfield;Austria;1530000;Bundesliga;27;1578;1;0;4;0;13;4;1;1079;10;28
Marwin Hitz;Borussia Dortmund;33;Goalkeeper;Switzerland;1530000;Bundesliga;16;1395;0;0;1;0;0;0;0;574;0;0
Andreas Voglsammer;1.FC Union Berlin;29;attack;Germany;1530000;Bundesliga;18;1000;2;2;1;0;33;12;3;409;7;9
Marius Bulter;FC Schalke 04;28;attack;Germany;1530000;Bundesliga;26;977;1;0;1;0;19;7;3;463;13;9
Cedric Teuchert;1.FC Union Berlin;24;attack;Germany;1530000;Bundesliga;24;754;3;1;2;0;23;10;3;348;10;7
Yassine Benzia;Dijon FCO;26;midfield;Algeria;1440000;Ligue 1;7;407;2;1;1;0;4;0;0;256;11;5
Corentin Jean;RC Lens;26;attack;France;1440000;Ligue 1;23;580;1;1;3;0;22;10;4;261;13;7
Farid El Melali;SCO Angers;24;attack;Algeria;1440000;Ligue 1;17;414;0;0;1;0;13;5;3;250;22;4
Lorenzo De Silvestri;Bologna FC 1909;33;Defender;Italy;1350000;Serie A;29;2143;2;0;4;0;12;7;0;1500;4;17
Tomas Koubek;FC Augsburg;29;Goalkeeper;Czech Republic;1350000;Bundesliga;;;;;;;;;;;;
Anthony Modeste;1. FC Köln;33;attack;France;1350000;Bundesliga;15;514;0;0;2;0;16;1;0;163;1;1
Jose Fonte;LOSC Lille;37;Defender;Portugal;1350000;Ligue 1;36;3185;3;0;7;0;26;9;2;2687;9;27
Nacho Monreal;Real Sociedad;35;Defender;Spain;1350000;La Liga;26;2082;1;1;1;0;11;1;2;1412;8;20
Nicolas Pallois;FC Nantes;33;Defender;France;1350000;Ligue 1;32;2776;2;0;8;1;13;5;1;1662;20;37
Giorgio Chiellini;Juventus FC;37;Defender;Italy;1350000;Serie A;17;1386;0;1;4;0;6;0;2;1228;3;12
Alessandro Schopf;Arminia Bielefeld;27;midfield;Austria;1350000;Bundesliga;19;942;0;0;0;0;11;1;2;496;20;12
Lukasz Fabianski;West Ham United;36;Goalkeeper;Poland;1350000;Premier League;35;3150;0;0;2;0;0;0;0;1067;0;0
Vincent Pajot;FC Metz;31;midfield;France;1350000;Ligue 1;12;914;0;0;3;0;5;2;3;627;4;28
Darren Randolph;West Ham United;34;Goalkeeper;Ireland;1350000;Premier League;3;270;0;0;0;0;0;0;0;73;0;0
Winston Reid;West Ham United;33;Defender;New Zealand;1350000;Premier League;;;;;;;;;;;;
Paul Akouokou;Real Betis Balompié;23;midfield;Cote d'Ivoire;1350000;La Liga;10;378;0;0;5;1;0;0;0;216;3;8
Cyrus Christie;Fulham FC;28;Defender;Ireland;1350000;Premier League;;;;;;;;;;;;
Andres Guardado;Real Betis Balompié;34;midfield;Mexico;1350000;La Liga;24;1318;1;0;4;0;11;5;1;922;9;16
Gabriel Silva;AS Saint-Étienne;30;Defender;Brazil;1350000;Ligue 1;4;355;0;0;1;0;0;0;0;267;4;5
Aleksandar Kolarov;Inter Milan;35;Defender;Serbia;1350000;Serie A;7;390;0;1;0;0;6;2;2;407;0;5
David McGoldrick;Sheffield United;33;attack;Ireland;1350000;Premier League;35;2397;8;1;7;0;72;24;1;1315;46;16
Joaquin;Real Betis Balompié;40;attack;Spain;1350000;La Liga;27;1291;2;6;2;0;12;6;8;878;20;5
Lukas Kubler;SC Freiburg;29;Defender;Germany;1350000;Bundesliga;19;884;0;1;2;0;2;1;1;520;6;13
Ruben Sobrino;Cádiz CF;29;attack;Spain;1350000;La Liga;16;1113;1;0;3;0;9;5;4;425;21;21
Robert Snodgrass;West Bromwich Albion;33;attack;Scotland;1350000;Premier League;8;526;0;0;2;0;4;1;1;207;3;12
Erik Pieters;Burnley FC;33;Defender;Netherlands;1350000;Premier League;20;1266;0;1;1;0;4;3;3;744;6;27
Inigo Lekue;Athletic Bilbao;28;Defender;Spain;1350000;La Liga;18;644;0;0;1;0;2;1;0;512;16;8
Romain Hamouma;AS Saint-Étienne;34;attack;France;1350000;Ligue 1;29;1769;6;1;5;0;34;17;4;952;37;8
Sidy Sarr;Nîmes Olympique;25;midfield;Senegal;1350000;Ligue 1;9;463;0;0;1;0;9;1;0;264;5;6
Anthony Racioppi;Dijon FCO;22;Goalkeeper;Switzerland;1350000;Ligue 1;21;1890;0;0;0;0;0;0;0;708;2;0
Maxime Le Marchand;RC Strasbourg Alsace;31;Defender;France;1350000;Ligue 1;2;123;0;0;2;0;1;0;0;92;0;1
Joris Gnagnon;Sevilla FC;24;Defender;France;1350000;La Liga;;;;;;;;;;;;
Martin Kelly;Crystal Palace;31;Defender;England;1350000;Premier League;;;;;;;;;;;;
Warren Tchimbembe;FC Metz;23;midfield;France;1350000;Ligue 1;15;495;0;0;0;0;6;1;2;299;2;3
Victor Camarasa;Real Betis Balompié;27;midfield;Spain;1350000;La Liga;;;;;;;;;;;;
Rafal Gikiewicz;FC Augsburg;33;Goalkeeper;Poland;1350000;Bundesliga;34;3060;0;0;3;0;0;0;1;1499;1;0
Riccardo Improta;Benevento Calcio;27;attack;Italy;1350000;Serie A;34;2335;1;0;7;0;36;6;4;1235;20;23
Enrico Brignola;Benevento Calcio;22;attack;Italy;1350000;Serie A;;;;;;;;;;;;
Jonathan Silva;Getafe CF;27;Defender;Argentina;1350000;La Liga;;;;;;;;;;;;
Denys Bain;Stade Brestois 29;28;Defender;France;1350000;Ligue 1;;;;;;;;;;;;
Federico Santander;Bologna FC 1909;30;attack;Paraguay;1350000;Serie A;;;;;;;;;;;;
Wesley Said;RC Lens;26;attack;France;1350000;Ligue 1;;;;;;;;;;;;
Jose Callejon;ACF Fiorentina;34;attack;Spain;1350000;Serie A;20;664;0;1;0;0;9;1;2;337;5;2
Milos Vulic;FC Crotone;25;midfield;Serbia;1350000;Serie A;25;1305;1;1;2;0;18;4;3;744;12;11
Damian Suarez;Getafe CF;33;Defender;Uruguay;1350000;La Liga;31;2434;1;0;13;1;10;2;2;1568;20;33
Ahmad Benali;FC Crotone;29;midfield;Libya;1350000;Serie A;18;1214;0;1;2;0;11;4;1;907;10;22
Timothy Chandler;Eintracht Frankfurt;31;Defender;United States;1350000;Bundesliga;15;432;1;0;2;0;6;2;0;248;3;1
David Timor;Getafe CF;31;midfield;Spain;1350000;La Liga;30;1395;0;0;5;1;18;5;0;757;2;8
Jorge Molina;Granada CF;39;attack;Spain;1350000;La Liga;33;1615;8;2;3;0;24;12;7;621;6;6
Unai Garcia;CA Osasuna;28;Defender;Spain;1350000;La Liga;17;1242;0;0;3;0;4;0;1;538;4;14
Daniele Verde;Spezia Calcio;25;attack;Italy;1350000;Serie A;21;980;6;1;1;0;34;16;2;504;10;3
Saidy Janko;Real Valladolid CF;25;Defender;Switzerland;1350000;La Liga;19;1220;0;1;4;0;3;1;2;738;19;14
Pablo Hervias;Real Valladolid CF;28;attack;Spain;1350000;La Liga;27;1204;0;5;1;0;14;7;8;858;19;17
Nolito;Celta de Vigo;34;attack;Spain;1350000;La Liga;36;2597;7;5;7;0;55;25;13;1338;24;44
Federico Barba;Benevento Calcio;28;Defender;Italy;1350000;Serie A;32;2659;0;2;8;0;13;3;2;1671;4;20
Julian Baumgartlinger;Bayer 04 Leverkusen;33;midfield;Austria;1350000;Bundesliga;17;1072;2;0;1;0;7;4;2;781;7;28
Havard Nordtveit;TSG 1899 Hoffenheim;31;Defender;Norway;1350000;Bundesliga;12;700;0;0;1;0;3;1;0;526;4;2
Dani Gomez;Levante UD;23;attack;Spain;1350000;La Liga;34;1666;2;2;3;0;31;8;6;549;34;5
Ermin Bicakcic;TSG 1899 Hoffenheim;31;Defender;Bosnia-Herzegovina;1350000;Bundesliga;2;128;1;0;1;0;2;1;0;78;0;0
Domenico Criscito;Genoa CFC;34;Defender;Italy;1350000;Serie A;23;1726;1;0;6;0;5;1;0;1248;4;27
Danny Latza;FC Schalke 04;31;midfield;Germany;1350000;Bundesliga;29;1800;0;2;8;0;21;9;3;989;16;31
Tete Morente;Elche CF;24;attack;Spain;1350000;La Liga;30;2019;2;5;5;0;19;3;9;1025;49;27
Nikola Kalinic;Hellas Verona;33;attack;Croatia;1350000;Serie A;19;1063;2;0;2;0;23;7;2;355;6;1
Tony Jantschke;Borussia Mönchengladbach;31;Defender;Germany;1260000;Bundesliga;8;269;0;0;1;0;2;1;0;285;1;7
Ibrahima Mbaye;Bologna FC 1909;26;Defender;Senegal;1260000;Serie A;8;428;1;0;2;0;1;1;0;241;3;3
Rafael Czichos;1. FC Köln;31;Defender;Germany;1170000;Bundesliga;28;2259;1;0;7;0;10;2;0;1609;5;37
Ivan Radovanovic;Genoa CFC;33;Defender;Serbia;1170000;Serie A;33;2232;0;0;6;0;6;1;1;1357;6;22
Benjamin Hubner;TSG 1899 Hoffenheim;32;Defender;Germany;1170000;Bundesliga;;;;;;;;;;;;
Salvatore Molina;FC Crotone;29;midfield;Italy;1170000;Serie A;29;2315;1;4;1;0;15;5;7;1347;28;27
Luca Kilian;1. FC Köln;22;Defender;Germany;1170000;Bundesliga;6;381;0;0;1;0;1;0;0;262;0;4
Niko Giesselmann;1.FC Union Berlin;29;Defender;Germany;1170000;Bundesliga;13;430;0;0;3;0;4;0;0;312;2;9
Casimir Ninga;SCO Angers;28;attack;Chad;1170000;Ligue 1;;;;;;;;;;;;
Timo Becker;FC Schalke 04;24;Defender;Germany;1170000;Bundesliga;20;1640;0;0;1;0;5;1;3;1003;18;19
Dominick Drexler;FC Schalke 04;31;midfield;Germany;1170000;Bundesliga;27;1233;2;1;1;0;12;2;1;686;10;23
Ilija Nestorovski;Udinese Calcio;31;attack;North Macedonia;1170000;Serie A;22;701;2;2;1;0;24;9;2;285;4;3
Keita Endo;1.FC Union Berlin;23;attack;Japan;1170000;Bundesliga;16;456;1;0;0;0;9;4;0;184;3;4
Jawad El Yamiq;Real Valladolid CF;29;Defender;Morocco;1080000;La Liga;19;1379;0;1;6;0;8;2;0;848;4;16
Shane Long;Southampton FC;34;attack;Ireland;1080000;Premier League;11;210;0;0;0;0;2;1;0;88;3;0
Mickael Le Bihan;Dijon FCO;31;attack;France;1080000;Ligue 1;;;;;;;;;;;;
Steffen Tigges;Borussia Dortmund;23;attack;Germany;1080000;Bundesliga;6;56;0;0;0;0;4;1;0;34;0;3
Philipp Klement;VfB Stuttgart;28;midfield;Germany;1080000;Bundesliga;18;421;1;2;0;0;7;3;4;414;5;5
Anuar;Real Valladolid CF;26;midfield;Morocco;1080000;La Liga;;;;;;;;;;;;
Nikolas Nartey;VfB Stuttgart;21;midfield;Denmark;1080000;Bundesliga;;;;;;;;;;;;
Bruno Ecuele Manga;Dijon FCO;33;Defender;Gabon;1080000;Ligue 1;38;3420;2;0;3;0;30;7;0;2330;10;45
John Guidetti;Deportivo Alavés;29;attack;Sweden;1080000;La Liga;10;208;1;0;1;0;5;1;0;87;1;2
Javi Martinez;CA Osasuna;21;midfield;Spain;1080000;La Liga;19;466;0;0;0;0;2;0;0;456;0;5
Angel Montoro;Granada CF;33;midfield;Spain;1080000;La Liga;22;1362;1;1;6;0;15;2;1;866;2;13
Roberto Soldado;Levante UD;36;attack;Spain;1080000;La Liga;29;1438;9;0;8;1;29;10;2;488;5;8
Jeremy Pied;LOSC Lille;32;Defender;France;1080000;Ligue 1;6;318;0;0;1;0;1;1;0;311;2;2
Ivan Saponjic;Atlético de Madrid;24;attack;Serbia;1080000;La Liga;9;388;1;0;2;0;10;5;0;135;2;0
Alvaro Negredo;Cádiz CF;36;attack;Spain;1080000;La Liga;35;2198;8;4;5;1;47;20;8;805;27;7
Sergio Alvarez;SD Eibar;29;midfield;Spain;1080000;La Liga;;;;;;;;;;;;
Kerim Calhanoglu;FC Schalke 04;19;midfield;Germany;1080000;Bundesliga;4;296;0;0;0;0;1;1;0;174;3;2
Sergio Postigo;Levante UD;32;Defender;Spain;1080000;La Liga;22;1623;0;0;4;0;1;0;0;1024;3;13
Marvin Zeegelaar;Udinese Calcio;31;Defender;Netherlands;1080000;Serie A;24;1740;1;0;6;0;9;1;0;983;21;26
Christopher Trimmel;1.FC Union Berlin;34;Defender;Austria;1080000;Bundesliga;31;2572;1;9;9;0;9;3;12;1830;10;33
Edgar Gonzalez;Real Betis Balompié;24;Defender;Spain;1080000;La Liga;;;;;;;;;;;;
Jeremy Le Douaron;Stade Brestois 29;23;attack;France;1080000;Ligue 1;28;816;1;2;0;0;13;7;4;346;9;6
Lucas Deaux;Dijon FCO;32;midfield;France;1080000;Ligue 1;25;1754;1;2;4;1;14;6;5;1217;20;38
Alfred Finnbogason;FC Augsburg;32;attack;Iceland;1080000;Bundesliga;17;544;0;1;0;0;11;6;1;249;5;1
Sergio Cordova;FC Augsburg;24;attack;Venezuela;1080000;Bundesliga;23;1090;2;1;0;0;20;4;2;431;9;11
Houboulang Mendes;FC Lorient;23;Defender;France;1080000;Ligue 1;17;1297;0;0;3;0;4;0;1;776;7;14
Vincent Le Goff;FC Lorient;31;Defender;France;1080000;Ligue 1;26;2306;0;0;0;0;9;4;0;1502;10;23
